,user_id,variant_name,total_revenue,converted
0,2,control,0.0,0
1,4,variant,0.0,0
2,5,variant,0.0,0
3,6,variant,0.0,0
4,9,variant,0.0,0
5,11,control,0.0,0
6,12,control,0.0,0
7,13,control,0.0,0
8,15,variant,0.0,0
9,19,variant,0.0,0
10,20,variant,0.0,0
11,21,control,0.0,0
12,26,variant,0.0,0
13,28,variant,0.0,0
14,29,control,0.0,0
15,32,control,0.0,0
16,34,control,0.0,0
17,35,variant,0.0,0
18,36,variant,0.0,0
19,42,control,0.0,0
20,45,variant,0.0,0
21,47,variant,0.0,0
22,48,variant,0.0,0
23,49,control,0.0,0
24,51,variant,0.0,0
25,53,variant,0.0,0
26,54,variant,0.0,0
27,56,variant,2.99,1
28,58,control,0.0,0
29,59,variant,0.0,0
30,61,variant,0.0,0
31,62,control,0.0,0
32,63,variant,0.0,0
33,66,variant,0.0,0
34,71,variant,0.0,0
35,72,variant,0.0,0
36,74,variant,0.0,0
37,77,variant,0.0,0
38,78,control,0.0,0
39,79,variant,0.0,0
40,80,control,0.0,0
41,84,control,0.0,0
42,88,variant,0.0,0
43,89,variant,0.0,0
44,93,variant,0.0,0
45,94,control,0.0,0
46,95,control,0.0,0
47,96,control,0.0,0
48,97,control,0.0,0
49,99,variant,0.0,0
50,102,control,0.0,0
51,103,variant,0.0,0
52,107,variant,0.0,0
53,109,control,0.0,0
54,111,variant,0.0,0
55,112,control,0.0,0
56,113,variant,0.0,0
57,116,control,0.0,0
58,120,control,0.0,0
59,121,variant,0.0,0
60,122,control,0.0,0
61,124,control,1.25,1
62,125,variant,0.0,0
63,127,variant,0.0,0
64,128,variant,0.0,0
65,129,variant,0.0,0
66,130,control,0.0,0
67,131,variant,0.0,0
68,133,control,0.0,0
69,134,control,0.0,0
70,135,variant,0.0,0
71,136,variant,0.0,0
72,138,variant,0.0,0
73,139,control,0.0,0
74,146,control,0.0,0
75,147,variant,0.0,0
76,150,variant,0.0,0
77,156,variant,0.0,0
78,157,variant,0.0,0
79,159,variant,0.0,0
80,160,control,0.0,0
81,166,variant,0.0,0
82,168,variant,0.0,0
83,169,control,4.33,1
84,176,variant,0.0,0
85,177,variant,0.0,0
86,178,variant,0.0,0
87,181,control,0.0,0
88,182,control,0.0,0
89,184,variant,0.0,0
90,188,variant,0.0,0
91,189,control,0.0,0
92,191,control,0.0,0
93,193,variant,0.0,0
94,196,variant,0.0,0
95,197,variant,0.0,0
96,198,variant,0.0,0
97,200,control,0.0,0
98,201,control,0.0,0
99,204,variant,0.0,0
100,210,control,0.0,0
101,213,control,0.0,0
102,216,variant,0.0,0
103,217,control,0.0,0
104,219,control,0.0,0
105,221,control,0.0,0
106,222,control,0.0,0
107,223,control,0.0,0
108,226,control,0.0,0
109,227,variant,0.0,0
110,228,variant,0.0,0
111,231,variant,0.0,0
112,232,control,0.0,0
113,233,control,0.0,0
114,234,variant,0.0,0
115,237,control,0.0,0
116,238,variant,0.0,0
117,240,control,0.0,0
118,241,control,0.0,0
119,244,control,0.0,0
120,248,control,0.0,0
121,251,variant,0.0,0
122,252,variant,0.0,0
123,253,control,0.0,0
124,255,control,0.0,0
125,260,variant,0.0,0
126,262,control,0.0,0
127,264,control,0.0,0
128,265,variant,0.0,0
129,266,control,0.0,0
130,267,control,0.0,0
131,272,control,0.0,0
132,276,variant,0.0,0
133,277,variant,0.0,0
134,278,variant,0.0,0
135,280,variant,0.0,0
136,281,control,0.0,0
137,282,control,18.56,1
138,283,control,0.0,0
139,285,variant,0.0,0
140,288,variant,0.0,0
141,291,variant,0.0,0
142,293,control,0.0,0
143,295,control,0.0,0
144,296,control,0.0,0
145,299,control,0.0,0
146,300,variant,0.0,0
147,302,control,0.0,0
148,304,variant,0.0,0
149,308,variant,0.0,0
150,317,variant,0.0,0
151,318,variant,0.0,0
152,319,control,0.0,0
153,320,variant,0.0,0
154,322,control,0.0,0
155,323,variant,0.0,0
156,324,control,0.0,0
157,326,variant,0.0,0
158,328,variant,0.0,0
159,337,control,0.0,0
160,340,variant,0.0,0
161,341,variant,0.0,0
162,343,variant,0.0,0
163,349,variant,0.0,0
164,350,variant,0.0,0
165,352,control,0.0,0
166,354,control,0.0,0
167,355,variant,0.0,0
168,356,variant,0.0,0
169,357,control,0.0,0
170,359,variant,0.0,0
171,365,control,0.0,0
172,366,variant,0.0,0
173,367,variant,0.0,0
174,369,variant,0.0,0
175,371,variant,0.0,0
176,372,variant,0.0,0
177,375,variant,0.0,0
178,380,variant,0.0,0
179,383,variant,0.0,0
180,386,control,0.0,0
181,387,variant,0.0,0
182,388,variant,0.0,0
183,389,variant,0.0,0
184,391,variant,0.0,0
185,392,control,0.0,0
186,394,variant,0.0,0
187,396,control,0.0,0
188,397,variant,0.0,0
189,399,variant,0.0,0
190,400,control,0.0,0
191,407,variant,0.0,0
192,408,variant,0.0,0
193,414,variant,0.0,0
194,417,control,0.0,0
195,418,variant,0.0,0
196,419,variant,0.0,0
197,420,control,0.0,0
198,422,control,0.0,0
199,425,variant,0.0,0
200,426,control,0.0,0
201,428,control,0.0,0
202,431,control,0.0,0
203,432,control,0.0,0
204,433,variant,0.0,0
205,434,variant,0.0,0
206,435,variant,0.0,0
207,436,control,0.0,0
208,439,variant,0.0,0
209,443,variant,3.75,1
210,445,control,0.0,0
211,447,control,0.0,0
212,452,variant,0.0,0
213,454,control,0.0,0
214,455,control,0.0,0
215,459,variant,0.0,0
216,460,control,0.0,0
217,465,control,0.0,0
218,469,control,0.0,0
219,470,variant,0.0,0
220,473,variant,0.0,0
221,475,variant,0.0,0
222,476,control,0.0,0
223,478,control,0.0,0
224,479,control,0.0,0
225,481,variant,0.0,0
226,483,variant,0.0,0
227,484,control,0.0,0
228,485,control,0.0,0
229,486,variant,0.0,0
230,487,control,4.33,1
231,488,variant,0.0,0
232,489,control,0.0,0
233,490,control,0.0,0
234,491,variant,0.0,0
235,492,variant,0.0,0
236,493,variant,0.0,0
237,494,variant,0.0,0
238,496,control,0.0,0
239,498,variant,0.0,0
240,499,control,0.0,0
241,502,variant,0.0,0
242,503,variant,0.0,0
243,506,variant,0.0,0
244,507,variant,0.0,0
245,508,control,0.0,0
246,510,variant,0.0,0
247,511,control,0.0,0
248,512,control,0.0,0
